epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
53,0.08633932,0.355362,0.884460,0.884588,0.884610,0.884548,2.512279,0.512252,0.527378,0.514732,0.508732,val
54,0.08578137,0.338719,0.891459,0.891750,0.891675,0.891654,2.456440,0.526241,0.539366,0.526570,0.522616,val
55,0.08521413,0.345767,0.888269,0.888465,0.888486,0.888429,2.368498,0.538294,0.547998,0.540098,0.535291,val
56,0.08463775,0.318325,0.899514,0.899614,0.899595,0.899546,2.566692,0.521877,0.543087,0.525703,0.523700,val
57,0.08405239,0.318065,0.896781,0.896953,0.896928,0.896903,2.399432,0.526200,0.540352,0.529210,0.525768,val
58,0.08345818,0.312766,0.899588,0.899648,0.899630,0.899586,2.469337,0.523930,0.541807,0.525797,0.522770,val
59,0.08285530,0.311052,0.899270,0.899507,0.899408,0.899404,2.462548,0.528529,0.544964,0.530352,0.528826,val
60,0.08224389,0.306206,0.901492,0.901883,0.901789,0.901793,2.475953,0.529690,0.546858,0.533450,0.529266,val
61,0.08162411,0.279270,0.908872,0.909104,0.909071,0.909039,2.466174,0.529273,0.546415,0.534106,0.531041,val
62,0.08099612,0.295279,0.903630,0.903720,0.903652,0.903639,2.525431,0.531766,0.546983,0.534334,0.528254,val
63,0.08036009,0.277086,0.909143,0.909477,0.909385,0.909388,2.554577,0.522370,0.536620,0.525035,0.519844,val
64,0.07971618,0.281002,0.910129,0.910517,0.910437,0.910421,2.506691,0.533895,0.551882,0.535592,0.533998,val
65,0.07906456,0.271666,0.912417,0.912572,0.912542,0.912527,2.454664,0.530012,0.541309,0.531297,0.528543,val
66,0.07840540,0.264920,0.913664,0.913900,0.913905,0.913864,2.532257,0.529790,0.546927,0.533590,0.529712,val
67,0.07773886,0.254788,0.917433,0.917653,0.917562,0.917572,2.518760,0.527936,0.549589,0.529525,0.527837,val
68,0.07706513,0.250633,0.919613,0.919698,0.919728,0.919680,2.540493,0.534922,0.547098,0.538034,0.529149,val
69,0.07638437,0.246174,0.921018,0.921160,0.921148,0.921127,2.534885,0.528886,0.538455,0.531137,0.524956,val
70,0.07569677,0.238541,0.924211,0.924371,0.924353,0.924331,2.578241,0.523872,0.535982,0.527992,0.520832,val
71,0.07500250,0.244030,0.921657,0.921749,0.921704,0.921679,2.527573,0.527086,0.541906,0.529328,0.526098,val
72,0.07430174,0.211067,0.933568,0.934006,0.933932,0.933932,2.483983,0.545696,0.557526,0.548309,0.543544,val
73,0.07359468,0.211636,0.933352,0.933490,0.933450,0.933431,2.481797,0.535373,0.551635,0.537883,0.535579,val
74,0.07288149,0.213452,0.932368,0.932534,0.932549,0.932513,2.543321,0.534505,0.554867,0.537101,0.533903,val
75,0.07216236,0.211563,0.932798,0.933035,0.932950,0.932958,2.553643,0.530957,0.546561,0.533228,0.531139,val
76,0.07143748,0.200000,0.935140,0.935350,0.935315,0.935301,2.513514,0.530341,0.541141,0.532550,0.528733,val
77,0.07070705,0.205733,0.934694,0.934795,0.934771,0.934755,2.610787,0.520558,0.534142,0.523738,0.517638,val
78,0.06997123,0.191486,0.940287,0.940344,0.940300,0.940285,2.550526,0.530347,0.544198,0.530920,0.527518,val
79,0.06923024,0.186793,0.940230,0.940450,0.940412,0.940404,2.617340,0.524921,0.550992,0.525551,0.525616,val
80,0.06848425,0.182430,0.941695,0.941951,0.941845,0.941866,2.543294,0.539027,0.546872,0.539403,0.535442,val
81,0.06773347,0.178229,0.942931,0.943263,0.943191,0.943193,2.550884,0.536441,0.553216,0.538719,0.537280,val
82,0.06697809,0.193966,0.937985,0.938181,0.938094,0.938097,2.527614,0.535338,0.542525,0.536796,0.530732,val
83,0.06621830,0.173076,0.946279,0.946496,0.946421,0.946430,2.543323,0.539244,0.550639,0.540338,0.536900,val
84,0.06545430,0.182567,0.942715,0.942783,0.942759,0.942743,2.466780,0.540388,0.546056,0.541215,0.536407,val
85,0.06468630,0.165928,0.948678,0.948681,0.948660,0.948646,2.521253,0.537426,0.551984,0.539645,0.537865,val
86,0.06391448,0.153130,0.951993,0.952046,0.952024,0.952019,2.536295,0.539813,0.554917,0.543169,0.538521,val
87,0.06313906,0.148364,0.954365,0.954673,0.954602,0.954611,2.553441,0.537268,0.547438,0.540702,0.534643,val
88,0.06236022,0.149017,0.954473,0.954624,0.954593,0.954586,2.412501,0.561521,0.575413,0.563723,0.559401,val
89,0.06157818,0.139574,0.956763,0.956844,0.956828,0.956812,2.519578,0.544019,0.555605,0.545623,0.541113,val
90,0.06079313,0.134589,0.959806,0.959899,0.959831,0.959837,2.507294,0.543033,0.551682,0.545535,0.538368,val
91,0.06000528,0.117030,0.964786,0.964911,0.964871,0.964872,2.533582,0.541567,0.547998,0.545899,0.539389,val
92,0.05921484,0.128844,0.959326,0.959399,0.959376,0.959368,2.488614,0.547784,0.557193,0.549849,0.545301,val
93,0.05842201,0.129536,0.959229,0.959396,0.959377,0.959365,2.523448,0.536517,0.549262,0.539472,0.534512,val
94,0.05762699,0.129786,0.960594,0.960682,0.960618,0.960627,2.477904,0.549286,0.554804,0.550429,0.545813,val
95,0.05683000,0.127541,0.960646,0.960751,0.960728,0.960723,2.477905,0.550687,0.557946,0.551280,0.547963,val
96,0.05603123,0.126259,0.961521,0.961701,0.961671,0.961668,2.441070,0.559861,0.567397,0.561365,0.557390,val
97,0.05523090,0.110709,0.966769,0.966872,0.966840,0.966835,2.458037,0.544412,0.555831,0.545696,0.542877,val
98,0.05442921,0.102306,0.968868,0.969084,0.969062,0.969058,2.492456,0.547239,0.555153,0.547102,0.543273,val
99,0.05362638,0.092685,0.973546,0.973652,0.973608,0.973612,2.443429,0.556171,0.558678,0.558501,0.551750,val
100,0.05282260,0.085754,0.975812,0.975858,0.975809,0.975820,2.400340,0.554969,0.563811,0.556108,0.552315,val
101,0.05201810,0.078174,0.978083,0.978262,0.978244,0.978241,2.478612,0.542400,0.555073,0.543527,0.542083,val
102,0.05121307,0.086171,0.974790,0.974858,0.974856,0.974843,2.464827,0.549778,0.556834,0.552533,0.547639,val
103,0.05040772,0.084666,0.975755,0.975972,0.975949,0.975947,2.337493,0.567732,0.576388,0.570170,0.567183,val
104,0.04960228,0.081876,0.976737,0.976822,0.976777,0.976787,2.386831,0.557198,0.565292,0.558524,0.555150,val
105,0.04879693,0.072278,0.979855,0.979958,0.979941,0.979938,2.395816,0.559210,0.567220,0.560935,0.557677,val
106,0.04799190,0.064326,0.982220,0.982249,0.982207,0.982215,2.411692,0.561755,0.567366,0.563020,0.559707,val
107,0.04718740,0.055509,0.985325,0.985349,0.985349,0.985341,2.409812,0.564101,0.567567,0.567628,0.560710,val
108,0.04638362,0.051186,0.986458,0.986508,0.986487,0.986488,2.388933,0.559034,0.562982,0.559153,0.554505,val
109,0.04558079,0.048200,0.987185,0.987196,0.987164,0.987170,2.366777,0.559603,0.563476,0.561908,0.558031,val
110,0.04477910,0.037863,0.990747,0.990790,0.990766,0.990771,2.317756,0.576295,0.579202,0.578647,0.572441,val
111,0.04397877,0.036812,0.990993,0.991033,0.991024,0.991021,2.319742,0.572905,0.575492,0.574408,0.568362,val
112,0.04318000,0.031168,0.992781,0.992859,0.992844,0.992845,2.340442,0.568659,0.576034,0.571398,0.568050,val
113,0.04238301,0.030164,0.993088,0.993135,0.993123,0.993125,2.279334,0.572547,0.578167,0.575092,0.570973,val
114,0.04158799,0.028346,0.994061,0.994065,0.994063,0.994058,2.262601,0.575274,0.579837,0.576705,0.571022,val
115,0.04079516,0.025104,0.994631,0.994777,0.994769,0.994768,2.275451,0.568917,0.571633,0.570498,0.565137,val
116,0.04000472,0.031124,0.993113,0.993145,0.993144,0.993141,2.260971,0.575527,0.578968,0.577922,0.573496,val
117,0.03921687,0.024174,0.994961,0.994995,0.994992,0.994990,2.250442,0.575351,0.576286,0.577038,0.572197,val
118,0.03843182,0.016671,0.997166,0.997167,0.997157,0.997159,2.207751,0.582729,0.581828,0.584985,0.579116,val
119,0.03764978,0.013561,0.997979,0.997974,0.997974,0.997972,2.175256,0.585926,0.583986,0.588006,0.581268,val
120,0.03687094,0.011967,0.997930,0.997928,0.997923,0.997924,2.182516,0.577879,0.577187,0.579022,0.572851,val
121,0.03609552,0.009519,0.998694,0.998694,0.998692,0.998692,2.139367,0.591726,0.589048,0.593719,0.587211,val
122,0.03532370,0.009178,0.998756,0.998793,0.998788,0.998790,2.145935,0.589140,0.585395,0.591382,0.583956,val
123,0.03455570,0.009567,0.998595,0.998597,0.998587,0.998591,2.131161,0.589257,0.588181,0.590986,0.585283,val
124,0.03379170,0.009400,0.998571,0.998575,0.998570,0.998571,2.110932,0.588765,0.585361,0.591682,0.583410,val
125,0.03303191,0.007282,0.999187,0.999185,0.999185,0.999184,2.082572,0.595791,0.592261,0.597487,0.590486,val
126,0.03227653,0.006292,0.999409,0.999407,0.999408,0.999407,2.066478,0.593996,0.591143,0.595631,0.589329,val
