dataset_folder,model_folder,run_name,condition,epoch,value
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,11,0.138773
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,12,0.104109
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,13,0.090248
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,14,0.082138
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,15,0.086839
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,16,0.093254
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,17,0.090938
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,18,0.048004
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,19,0.046971
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,20,0.048418
malimg,resnet18,resnet18_seed42_none,none,1,2.043423
malimg,resnet18,resnet18_seed42_none,none,2,0.137192
malimg,resnet18,resnet18_seed42_none,none,3,0.189212
malimg,resnet18,resnet18_seed42_none,none,4,0.140658
malimg,resnet18,resnet18_seed42_none,none,5,0.158041
malimg,resnet18,resnet18_seed42_none,none,6,0.128621
malimg,resnet18,resnet18_seed42_none,none,7,0.126045
malimg,resnet18,resnet18_seed42_none,none,8,0.077046
malimg,resnet18,resnet18_seed42_none,none,9,0.073109
malimg,resnet18,resnet18_seed42_none,none,10,0.083047
malimg,resnet18,resnet18_seed42_none,none,11,0.071962
malimg,resnet18,resnet18_seed42_none,none,12,0.074962
malimg,resnet18,resnet18_seed42_none,none,13,0.073836
malimg,resnet18,resnet18_seed42_none,none,14,0.082834
malimg,resnet18,resnet18_seed42_none,none,15,0.103067
malimg,resnet18,resnet18_seed42_none,none,16,0.07283
malimg,resnet18,resnet18_seed42_none,none,17,0.075838
malimg,resnet18,resnet18_seed42_none,none,18,0.107708
malimg,resnet18,resnet18_seed42_none,none,19,0.084427
malimg,resnet18,resnet18_seed42_none,none,20,0.078289
malimg,resnet18,resnet18_seed42_none,none,21,0.079111
malimg,resnet18,resnet18_seed42_none,none,22,0.069571
malimg,resnet18,resnet18_seed42_none,none,23,0.066621
malimg,resnet18,resnet18_seed42_none,none,24,0.069639
malimg,resnet18,resnet18_seed42_none,none,25,0.14554
malimg,resnet18,resnet18_seed42_none,none,26,0.069295
malimg,resnet18,resnet18_seed42_none,none,27,0.074171
malimg,resnet18,resnet18_seed42_none,none,28,0.066322
malimg,resnet18,resnet18_seed42_none,none,29,0.068308
malimg,resnet18,resnet18_seed42_none,none,30,0.064508
malimg,resnet18,resnet18_seed42_none,none,31,0.064763
malimg,resnet18,resnet18_seed42_none,none,32,0.075722
malimg,resnet18,resnet18_seed42_none,none,33,0.079256
malimg,resnet18,resnet18_seed42_none,none,34,0.072959
malimg,resnet18,resnet18_seed42_none,none,35,0.065023
malimg,resnet18,resnet18_seed42_none,none,36,0.074548
malimg,resnet18,resnet18_seed42_none,none,37,0.069795
malimg,resnet18,resnet18_seed42_none,none,38,0.068441
malimg,resnet18,resnet18_seed42_none,none,39,0.069035
malimg,resnet18,resnet18_seed42_none,none,40,0.077792
malimg,resnet18,resnet18_seed42_none,none,41,0.078084
malimg,resnet18,resnet18_seed42_none,none,42,0.065764
malimg,resnet18,resnet18_seed42_none,none,43,0.096769
malimg,resnet18,resnet18_seed42_none,none,44,0.076349
malimg,resnet18,resnet18_seed42_none,none,45,0.069216
malimg,resnet18,resnet18_seed42_none,none,46,0.071697
malimg,resnet18,resnet18_seed42_none,none,47,0.075585
malimg,resnet18,resnet18_seed42_none,none,48,0.075221
malimg,resnet18,resnet18_seed42_none,none,49,0.066086
malimg,resnet18,resnet18_seed42_none,none,50,0.065223
malimg,resnet18,resnet18_seed42_none,none,51,0.063197
malimg,resnet18,resnet18_seed42_none,none,52,0.065037
malimg,resnet18,resnet18_seed42_none,none,53,0.066233
malimg,resnet18,resnet18_seed42_none,none,54,0.063419
malimg,resnet18,resnet18_seed42_none,none,55,0.061288
malimg,resnet18,resnet18_seed42_none,none,56,0.075228
malimg,resnet18,resnet18_seed42_none,none,57,0.062652
malimg,resnet18,resnet18_seed42_none,none,58,0.067052
malimg,resnet18,resnet18_seed42_none,none,59,0.064074
malimg,resnet18,resnet18_seed42_none,none,60,0.062891
malimg,resnet18,resnet18_seed42_none,none,61,0.063373
malimg,resnet18,resnet18_seed42_none,none,62,0.065454
malimg,resnet18,resnet18_seed42_none,none,63,0.065104
malimg,resnet18,resnet18_seed42_none,none,64,0.067887
malimg,resnet18,resnet18_seed42_none,none,65,0.066572
malimg,resnet18,resnet18_seed42_none,none,66,0.069236
malimg,resnet18,resnet18_seed42_none,none,67,0.068118
malimg,resnet18,resnet18_seed42_none,none,68,0.069872
malimg,resnet18,resnet18_seed42_none,none,69,0.068849
malimg,resnet18,resnet18_seed42_none,none,70,0.067338
malimg,resnet18,resnet18_seed42_none,none,71,0.070348
malimg,resnet18,resnet18_seed42_none,none,72,0.06976
malimg,resnet18,resnet18_seed42_none,none,73,0.067634
malimg,resnet18,resnet18_seed42_none,none,74,0.070548
malimg,resnet18,resnet18_seed42_none,none,75,0.067791
malimg,resnet18,resnet18_seed42_none,none,76,0.069005
malimg,resnet18,resnet18_seed42_none,none,77,0.067102
malimg,resnet18,resnet18_seed42_none,none,78,0.067554
malimg,resnet18,resnet18_seed42_none,none,79,0.066803
malimg,resnet18,resnet18_seed42_none,none,80,0.068731
malimg,resnet18,resnet18_seed42_none,none,81,0.06552
malimg,resnet18,resnet18_seed42_none,none,82,0.06994
malimg,resnet18,resnet18_seed42_none,none,83,0.069122
malimg,resnet18,resnet18_seed42_none,none,84,0.070812
malimg,resnet18,resnet18_seed42_none,none,85,0.067375
malimg,resnet18,resnet18_seed42_none,none,86,0.068431
malimg,resnet18,resnet18_seed42_none,none,87,0.067548
malimg,resnet18,resnet18_seed42_none,none,88,0.068399
malimg,resnet18,resnet18_seed42_none,none,89,0.069058
malimg,resnet18,resnet18_seed42_none,none,90,0.068566
malimg,resnet18,resnet18_seed42_none,none,91,0.067922
malimg,resnet18,resnet18_seed42_none,none,92,0.067814
malimg,resnet18,resnet18_seed42_none,none,93,0.069705
