dataset_folder,dataset_display,config_model,seed,run_name,condition_key,condition_label,epoch,train_accuracy,eval_accuracy,train_loss,eval_loss
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,41.0,0.98788,0.975038,0.040534,0.083857
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,42.0,0.988315,0.964384,0.040055,0.175368
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,43.0,0.986958,0.970495,0.044029,0.101411
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,44.0,0.987104,0.969134,0.04529,0.131576
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,45.0,0.987907,0.978264,0.041285,0.073386
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,46.0,0.988636,0.978264,0.036819,0.084716
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,47.0,0.988736,0.979877,0.037794,0.074681
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,48.0,0.988717,0.978264,0.037418,0.083136
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,49.0,0.988763,0.9789,0.0372,0.071943
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,50.0,0.988763,0.9789,0.037336,0.074767
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,51.0,0.987994,0.941375,0.040513,0.241815
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,52.0,0.985499,0.973129,0.04948,0.098377
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,53.0,0.987853,0.978264,0.039578,0.096334
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,54.0,0.990154,0.984803,0.033086,0.057041
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,55.0,0.990777,0.973721,0.032919,0.198595
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,56.0,0.988743,0.370174,0.036192,2.789464
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,57.0,0.988469,0.841847,0.039178,0.484553
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,58.0,0.99885,0.989642,0.005957,0.04929
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,59.0,0.999866,0.989642,0.001987,0.048153
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,60.0,1.0,0.989642,0.001271,0.046306
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,61.0,1.0,0.989642,0.001382,0.042976
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,62.0,1.0,0.989642,0.001549,0.044887
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,63.0,1.0,0.989642,0.001648,0.045536
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,64.0,1.0,0.988666,0.001736,0.042771
