dataset_folder,dataset_display,config_model,seed,run_name,condition_key,condition_label,epoch,train_accuracy,eval_accuracy,train_loss,eval_loss
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,40.0,0.907525,0.463132,0.319373,2.490324
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,41.0,0.908274,0.458352,0.315671,2.505615
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,42.0,0.912346,0.452826,0.301438,2.5541
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,43.0,0.916085,0.440625,0.290487,2.788472
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,44.0,0.919009,0.473817,0.282497,2.472544
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,45.0,0.920979,0.463523,0.27447,2.521531
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,46.0,0.92574,0.474207,0.260744,2.566181
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,47.0,0.92808,0.461466,0.252123,2.447698
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,48.0,0.930968,0.463913,0.240279,2.411588
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,49.0,0.933706,0.465648,0.231681,2.49233
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,50.0,0.937422,0.449678,0.220567,2.543971
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,51.0,0.940592,0.457008,0.212112,2.584036
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,52.0,0.942971,0.465165,0.203196,2.487774
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,53.0,0.947579,0.464304,0.188409,2.492487
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,54.0,0.948194,0.484352,0.185099,2.416246
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,55.0,0.952102,0.452332,0.173402,2.576328
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,56.0,0.955914,0.457709,0.162738,2.418243
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,57.0,0.958045,0.469301,0.155219,2.47275
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,58.0,0.960705,0.469187,0.146444,2.348633
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,59.0,0.96279,0.448794,0.138498,2.584415
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,60.0,0.96992,0.47986,0.117248,2.357773
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,61.0,0.966314,0.47685,0.130179,2.429435
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,62.0,0.977897,0.459455,0.091713,2.464886
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,63.0,0.964515,0.489913,0.135211,2.314379
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,64.0,0.990431,0.533042,0.047321,1.997227
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,65.0,0.998996,0.56659,0.013676,1.826281
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,66.0,0.999395,0.508766,0.014086,2.095811
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,67.0,0.885436,0.516556,0.424727,2.101004
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,68.0,0.995844,0.561167,0.025853,1.839381
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,69.0,0.999667,0.576643,0.008758,1.790479
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,70.0,0.999778,0.576574,0.009181,1.820358
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,71.0,0.999782,0.574874,0.010312,1.887777
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,72.0,0.884075,0.506239,0.440204,2.13538
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,73.0,0.989592,0.551482,0.049202,1.890872
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,74.0,0.999569,0.576264,0.007732,1.788362
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,75.0,0.999804,0.575138,0.007277,1.81678
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,76.0,0.999787,0.571519,0.008349,1.868901
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,77.0,0.999796,0.574793,0.008898,1.878811
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,78.0,0.999804,0.576356,0.008762,1.902612
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,79.0,0.9998,0.579998,0.008913,1.895762
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,80.0,0.999804,0.57338,0.009002,1.936407
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,81.0,0.999822,0.575333,0.009888,1.916492
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,82.0,0.921049,0.48503,0.311142,2.15109
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,83.0,0.976736,0.564131,0.104091,1.839798
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,84.0,0.99968,0.573357,0.006256,1.798543
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,85.0,0.999809,0.581468,0.004695,1.799086
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,86.0,0.999836,0.578952,0.005064,1.820889
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,87.0,0.999876,0.579779,0.005605,1.838942
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,88.0,0.999849,0.576999,0.00605,1.864502
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,89.0,0.999849,0.57824,0.006283,1.880809
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,90.0,0.999862,0.578022,0.006508,1.893593
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,91.0,0.999916,0.576482,0.006563,1.91058
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,92.0,0.999879,0.579389,0.006552,1.916367
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,93.0,0.999893,0.576482,0.006622,1.929423
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,94.0,0.999893,0.578952,0.006644,1.934156
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,95.0,0.999911,0.576068,0.00661,1.939109
