epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
53,0.08633932,0.330307,0.893986,0.894209,0.894174,0.894132,2.246231,0.547808,0.559428,0.549768,0.545400,val
54,0.08578137,0.333536,0.891089,0.891255,0.891255,0.891208,2.231114,0.546775,0.567131,0.550575,0.546483,val
55,0.08521413,0.328601,0.896005,0.896185,0.896108,0.896085,2.193572,0.553902,0.564663,0.556164,0.551864,val
56,0.08463775,0.308417,0.901131,0.901412,0.901296,0.901301,2.287795,0.541280,0.555606,0.542449,0.536040,val
57,0.08405239,0.310947,0.900479,0.900737,0.900663,0.900656,2.164557,0.568365,0.583332,0.570284,0.567669,val
58,0.08345818,0.311766,0.899812,0.899942,0.899937,0.899892,2.205358,0.552382,0.574306,0.554906,0.552771,val
59,0.08285530,0.299826,0.903839,0.903906,0.903840,0.903822,2.216692,0.562699,0.573607,0.567217,0.560667,val
60,0.08224389,0.282876,0.909022,0.909371,0.909294,0.909285,2.243008,0.557573,0.569101,0.560778,0.554998,val
61,0.08162411,0.278391,0.911585,0.911895,0.911918,0.911858,2.160441,0.567456,0.577907,0.570570,0.566130,val
62,0.08099612,0.275374,0.911283,0.911406,0.911347,0.911330,2.152175,0.572723,0.585891,0.576150,0.572862,val
63,0.08036009,0.250038,0.920683,0.920736,0.920709,0.920685,2.269267,0.562682,0.571749,0.567229,0.557608,val
64,0.07971618,0.259300,0.917007,0.917355,0.917307,0.917291,2.234991,0.556764,0.570818,0.559375,0.555419,val
65,0.07906456,0.264060,0.914500,0.914694,0.914650,0.914636,2.268638,0.549503,0.558935,0.553509,0.545500,val
66,0.07840540,0.262027,0.915719,0.915847,0.915782,0.915774,2.175847,0.570811,0.582812,0.573434,0.570272,val
67,0.07773886,0.252877,0.918506,0.918762,0.918693,0.918680,2.290163,0.551162,0.568455,0.553166,0.547270,val
68,0.07706513,0.236831,0.925217,0.925255,0.925228,0.925216,2.271561,0.561186,0.573799,0.561416,0.556997,val
69,0.07638437,0.231557,0.926451,0.926509,0.926528,0.926489,2.283965,0.558283,0.580191,0.561334,0.561047,val
70,0.07569677,0.230211,0.925955,0.925903,0.925875,0.925850,2.186673,0.565503,0.584089,0.568239,0.566158,val
71,0.07500250,0.217607,0.930541,0.930595,0.930543,0.930547,2.302423,0.553233,0.572977,0.553664,0.553596,val
72,0.07430174,0.215224,0.930586,0.930909,0.930899,0.930871,2.309810,0.555227,0.569662,0.557117,0.554300,val
73,0.07359468,0.214498,0.932207,0.932322,0.932308,0.932285,2.206991,0.577286,0.584381,0.578565,0.572496,val
74,0.07288149,0.207634,0.932404,0.932662,0.932528,0.932558,2.194230,0.576160,0.580628,0.577205,0.572475,val
75,0.07216236,0.224359,0.927928,0.928006,0.927957,0.927936,2.290262,0.556078,0.573830,0.558076,0.555204,val
76,0.07143748,0.208321,0.934127,0.934210,0.934205,0.934174,2.212707,0.570459,0.577635,0.573020,0.568030,val
77,0.07070705,0.202461,0.935756,0.935937,0.935848,0.935863,2.252040,0.559902,0.578149,0.561880,0.560901,val
78,0.06997123,0.187158,0.939932,0.940111,0.940055,0.940058,2.173766,0.587251,0.594684,0.588150,0.582362,val
79,0.06923024,0.167854,0.946818,0.946821,0.946799,0.946775,2.202610,0.561955,0.580785,0.561749,0.562116,val
80,0.06848425,0.174252,0.944763,0.944836,0.944858,0.944825,2.211560,0.568565,0.579333,0.570422,0.567882,val
81,0.06773347,0.171401,0.946338,0.946416,0.946407,0.946386,2.243246,0.569808,0.583802,0.571439,0.568174,val
82,0.06697809,0.171622,0.945034,0.945227,0.945201,0.945185,2.296962,0.557908,0.570089,0.561150,0.555968,val
