epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,4.483943,0.035353,4.367707,0.049621,val,0.1
2,0.02008000,2.453857,0.373252,2.258978,0.423633,val,0.1
3,0.04006000,1.133723,0.678606,2.244626,0.464683,val,0.1
4,0.06004000,0.667022,0.803220,2.330898,0.473690,val,0.1
5,0.08002000,0.648610,0.809414,2.726483,0.415705,val,0.1
6,0.10000000,0.679229,0.800807,2.330311,0.461455,val,0.1
7,0.09997267,0.578711,0.829857,2.434208,0.440234,val,0.1
8,0.09989069,0.550237,0.838835,2.346823,0.461041,val,0.1
9,0.09975417,0.522354,0.846858,2.668411,0.426045,val,0.1
10,0.09956325,0.506025,0.851781,2.546158,0.447932,val,0.1
11,0.09931813,0.493831,0.854496,2.426468,0.467153,val,0.1
12,0.09901910,0.480459,0.859142,2.474825,0.450758,val,0.1
13,0.09866646,0.471894,0.862289,2.593667,0.445680,val,0.1
14,0.09826062,0.470829,0.862111,2.590358,0.456147,val,0.1
15,0.09780201,0.453240,0.867674,2.586060,0.448886,val,0.1
16,0.09729113,0.454017,0.867343,2.538227,0.443187,val,0.1
17,0.09672855,0.446788,0.869271,2.665272,0.419060,val,0.1
18,0.09611488,0.439866,0.871306,2.510502,0.455871,val,0.1
19,0.09545078,0.434778,0.872875,2.495099,0.447863,val,0.1
20,0.09473699,0.426649,0.875847,2.439158,0.458157,val,0.1
21,0.09397429,0.420150,0.877462,2.402868,0.463419,val,0.1
22,0.09316351,0.420413,0.877025,2.356887,0.474138,val,0.1
23,0.09230553,0.402709,0.882340,2.542684,0.459260,val,0.1
24,0.09140130,0.404453,0.881966,2.363725,0.470129,val,0.1
25,0.09045180,0.395542,0.885136,2.489681,0.466096,val,0.1
26,0.08945808,0.392582,0.885024,2.640166,0.439970,val,0.1
27,0.08842121,0.380831,0.888927,2.405703,0.465981,val,0.1
28,0.08734234,0.375286,0.890421,2.698327,0.454102,val,0.1
29,0.08622264,0.369917,0.892478,2.538797,0.471795,val,0.1
30,0.08506333,0.360925,0.894752,2.457511,0.455296,val,0.1
31,0.08386569,0.352229,0.897695,2.417467,0.462994,val,0.1
32,0.08263103,0.349875,0.898104,2.531017,0.472254,val,0.1
33,0.08136068,0.339817,0.901099,2.527275,0.447174,val,0.1
34,0.08005605,0.334193,0.902827,2.665828,0.441602,val,0.1
35,0.07871856,0.323962,0.905826,2.332094,0.476804,val,0.1
36,0.07734967,0.315076,0.908246,2.322532,0.484157,val,0.1
37,0.07595088,0.305396,0.911275,2.366291,0.482318,val,0.1
38,0.07452372,0.298779,0.913415,2.438504,0.465636,val,0.1
39,0.07306975,0.289627,0.916043,2.509596,0.474368,val,0.1
40,0.07159056,0.284493,0.918091,2.497979,0.467854,val,0.1
41,0.07008776,0.270808,0.921480,2.428349,0.479343,val,0.1
42,0.06856301,0.264388,0.922819,2.481456,0.479917,val,0.1
