epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split,val_split
1,0.00010000,2.400544,0.288776,2.121505,0.348180,val,0.05
2,0.02008000,1.045687,0.656957,1.284654,0.679140,val,0.05
3,0.04006000,0.425601,0.866617,1.348506,0.691954,val,0.05
4,0.06004000,0.294510,0.905650,1.490757,0.681712,val,0.05
5,0.08002000,0.294828,0.903921,1.476519,0.633622,val,0.05
6,0.10000000,0.304496,0.900866,1.614138,0.638505,val,0.05
7,0.09997267,0.255597,0.915932,1.357523,0.667564,val,0.05
8,0.09989069,0.238837,0.920091,1.346207,0.661943,val,0.05
9,0.09975417,0.238345,0.920564,1.539268,0.648390,val,0.05
10,0.09956325,0.220715,0.925094,1.400820,0.658775,val,0.05
11,0.09931813,0.215765,0.926669,1.347879,0.678663,val,0.05
12,0.09901910,0.212875,0.926820,1.437585,0.646199,val,0.05
13,0.09866646,0.210124,0.927916,1.589901,0.642650,val,0.05
14,0.09826062,0.204460,0.930023,1.834339,0.607636,val,0.05
15,0.09780201,0.203331,0.929860,1.510476,0.640458,val,0.05
16,0.09729113,0.196551,0.931917,1.416829,0.672304,val,0.05
17,0.09672855,0.194534,0.932258,1.615447,0.652677,val,0.05
18,0.09611488,0.195468,0.932269,1.634644,0.660966,val,0.05
19,0.09545078,0.187412,0.934539,1.483793,0.686095,val,0.05
20,0.09473699,0.186978,0.934156,1.360984,0.678782,val,0.05
21,0.09397429,0.191161,0.933265,1.381133,0.700005,val,0.05
22,0.09316351,0.184099,0.936046,1.507795,0.664610,val,0.05
23,0.09230553,0.181265,0.936508,1.285313,0.687190,val,0.05
24,0.09140130,0.179747,0.937325,1.489744,0.702934,val,0.05
25,0.09045180,0.107130,0.958180,1.316302,0.676710,val,0.05
26,0.08945808,0.265030,0.912257,1.602655,0.633884,val,0.05
27,0.08842121,0.177228,0.938198,1.527033,0.657798,val,0.05
28,0.08734234,0.177444,0.937964,1.418532,0.676829,val,0.05
29,0.08622264,0.172957,0.938535,1.465026,0.661466,val,0.05
30,0.08506333,0.110847,0.956916,1.287264,0.703554,val,0.05
31,0.08386569,0.219998,0.925538,1.352819,0.688905,val,0.05
32,0.08263103,0.192640,0.932465,1.602479,0.657298,val,0.05
