epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
53,0.08633932,0.209907,0.932747,0.932889,0.932860,0.932839,1.637822,0.661605,0.691833,0.664386,0.664749,val
54,0.08578137,0.217672,0.930247,0.930440,0.930371,0.930376,1.855043,0.636255,0.672137,0.637140,0.636231,val
55,0.08521413,0.195831,0.939180,0.939380,0.939268,0.939290,1.717357,0.656655,0.683224,0.661058,0.659939,val
56,0.08463775,0.202250,0.934903,0.935040,0.934986,0.934986,1.712777,0.658766,0.685806,0.660871,0.659247,val
57,0.08405239,0.183977,0.941817,0.942017,0.941917,0.941933,1.730452,0.645288,0.683565,0.646315,0.643830,val
58,0.08345818,0.196205,0.938000,0.938263,0.938255,0.938234,1.609801,0.662989,0.687557,0.664008,0.661484,val
59,0.08285530,0.189769,0.939265,0.939390,0.939350,0.939330,1.763131,0.648567,0.676248,0.650861,0.649407,val
60,0.08224389,0.181036,0.941187,0.941311,0.941242,0.941237,1.888812,0.637065,0.667932,0.638266,0.634524,val
61,0.08162411,0.201989,0.935940,0.936128,0.936059,0.936063,1.834196,0.643476,0.683992,0.644005,0.644790,val
62,0.08099612,0.185958,0.941358,0.941348,0.941297,0.941295,1.808350,0.647106,0.672304,0.648973,0.647074,val
63,0.08036009,0.173618,0.946054,0.946074,0.946077,0.946049,1.876217,0.637733,0.678054,0.640723,0.641276,val
64,0.07971618,0.152085,0.951872,0.952029,0.951956,0.951964,1.707879,0.662338,0.688141,0.665425,0.663165,val
65,0.07906456,0.167288,0.946549,0.946697,0.946594,0.946619,1.725878,0.656754,0.682923,0.659490,0.659757,val
66,0.07840540,0.169861,0.946387,0.946542,0.946466,0.946472,1.711182,0.652965,0.687203,0.657204,0.657787,val
67,0.07773886,0.150953,0.951665,0.951941,0.951886,0.951875,1.717226,0.659224,0.684401,0.660547,0.657510,val
68,0.07706513,0.167424,0.945944,0.946092,0.946044,0.946044,1.799722,0.645980,0.671335,0.648702,0.646687,val
69,0.07638437,0.168073,0.945589,0.945801,0.945723,0.945725,1.802539,0.643182,0.671111,0.645474,0.640930,val
70,0.07569677,0.166633,0.947546,0.947651,0.947610,0.947602,1.694298,0.659851,0.678071,0.661919,0.656643,val
71,0.07500250,0.143926,0.955258,0.955297,0.955249,0.955253,1.715010,0.654584,0.688564,0.657153,0.656141,val
72,0.07430174,0.140362,0.957184,0.957406,0.957322,0.957337,1.710343,0.656913,0.672258,0.659079,0.653983,val
73,0.07359468,0.146898,0.955447,0.955671,0.955624,0.955627,1.626069,0.666954,0.684763,0.668162,0.665575,val
74,0.07288149,0.136190,0.957785,0.957844,0.957807,0.957800,1.739113,0.666502,0.683631,0.670061,0.665322,val
75,0.07216236,0.136745,0.957195,0.957341,0.957265,0.957281,1.743745,0.661804,0.682189,0.664887,0.661286,val
76,0.07143748,0.139511,0.955567,0.955656,0.955621,0.955611,1.750592,0.658491,0.685135,0.661645,0.659422,val
77,0.07070705,0.115470,0.964230,0.964342,0.964319,0.964314,1.836052,0.666145,0.686091,0.670003,0.664482,val
78,0.06997123,0.120596,0.962395,0.962544,0.962512,0.962504,1.732052,0.666145,0.679694,0.668994,0.664128,val
79,0.06923024,0.138956,0.957034,0.957119,0.957117,0.957103,1.764323,0.650443,0.681950,0.651686,0.652075,val
80,0.06848425,0.117832,0.963885,0.964046,0.963937,0.963971,1.706906,0.670549,0.687428,0.669996,0.669637,val
81,0.06773347,0.117561,0.963639,0.963745,0.963716,0.963715,1.780494,0.664016,0.688067,0.667440,0.662295,val
82,0.06697809,0.105488,0.968695,0.968967,0.968931,0.968928,1.615316,0.677652,0.686847,0.678283,0.673904,val
83,0.06621830,0.111642,0.966261,0.966253,0.966209,0.966209,1.745300,0.675001,0.701541,0.678382,0.675973,val
84,0.06545430,0.112190,0.966329,0.966591,0.966561,0.966556,1.764142,0.658649,0.681048,0.661035,0.657309,val
85,0.06468630,0.113393,0.965044,0.965169,0.965099,0.965115,1.658749,0.672221,0.693939,0.674382,0.673897,val
86,0.06391448,0.111391,0.965571,0.965587,0.965559,0.965559,1.710804,0.677429,0.693760,0.680074,0.677099,val
87,0.06313906,0.110980,0.965019,0.965123,0.965104,0.965097,1.765648,0.666068,0.686553,0.668607,0.664689,val
88,0.06236022,0.108246,0.966805,0.966844,0.966856,0.966837,1.596171,0.684315,0.700966,0.687096,0.684134,val
89,0.06157818,0.082714,0.975639,0.975721,0.975652,0.975670,1.556827,0.695090,0.709515,0.696970,0.695937,val
90,0.06079313,0.068066,0.979818,0.979915,0.979886,0.979888,1.744485,0.669699,0.690952,0.668955,0.670323,val
91,0.06000528,0.078705,0.976983,0.977068,0.977045,0.977043,1.685886,0.679031,0.690985,0.680300,0.675393,val
92,0.05921484,0.073907,0.978326,0.978348,0.978334,0.978331,1.652081,0.695383,0.714312,0.697227,0.696360,val
93,0.05842201,0.070801,0.979385,0.979412,0.979408,0.979402,1.661390,0.684773,0.702614,0.687839,0.685149,val
94,0.05762699,0.077929,0.977400,0.977404,0.977378,0.977379,1.693608,0.678556,0.699141,0.682114,0.678790,val
95,0.05683000,0.087526,0.973560,0.973713,0.973678,0.973684,1.637611,0.681377,0.697887,0.682713,0.681232,val
96,0.05603123,0.096346,0.971069,0.971140,0.971104,0.971105,1.659272,0.682421,0.699796,0.684645,0.682447,val
97,0.05523090,0.066176,0.981319,0.981348,0.981298,0.981311,1.696747,0.677054,0.695051,0.680885,0.675079,val
98,0.05442921,0.067056,0.979783,0.979959,0.979948,0.979944,1.575509,0.694656,0.707510,0.697333,0.694533,val
99,0.05362638,0.057281,0.983488,0.983499,0.983466,0.983473,1.622746,0.691142,0.704878,0.694734,0.688867,val
100,0.05282260,0.057086,0.983734,0.983710,0.983721,0.983706,1.570747,0.697793,0.710323,0.699212,0.697864,val
101,0.05201810,0.044288,0.987825,0.987812,0.987796,0.987795,1.655714,0.697002,0.711140,0.698235,0.694025,val
102,0.05121307,0.041822,0.988441,0.988439,0.988437,0.988431,1.552384,0.702210,0.712926,0.704266,0.701595,val
103,0.05040772,0.038936,0.989552,0.989628,0.989622,0.989619,1.555491,0.706773,0.709765,0.708111,0.702006,val
104,0.04960228,0.035094,0.991054,0.991069,0.991045,0.991048,1.527800,0.711524,0.718337,0.714041,0.710339,val
