epoch,lr,train_loss,train_acc1,train_precision,train_recall,train_f1,eval_loss,eval_acc1,eval_precision,eval_recall,eval_f1,eval_split
53,0.08633932,0.187083,0.940103,0.940125,0.940132,0.940100,1.354264,0.702902,0.731042,0.707749,0.706926,val
54,0.08578137,0.180172,0.941915,0.941995,0.941984,0.941960,1.388650,0.684614,0.716610,0.684186,0.689194,val
55,0.08521413,0.180126,0.943036,0.943145,0.943092,0.943096,1.426361,0.691518,0.716736,0.696510,0.691221,val
56,0.08463775,0.171061,0.945809,0.945921,0.945872,0.945875,1.605604,0.668989,0.712980,0.670313,0.673097,val
57,0.08405239,0.170440,0.945830,0.945898,0.945786,0.945807,1.369953,0.693946,0.725776,0.695100,0.695344,val
58,0.08345818,0.164751,0.947227,0.947354,0.947352,0.947334,1.394072,0.706656,0.729290,0.707784,0.707390,val
59,0.08285530,0.174628,0.944749,0.944850,0.944818,0.944807,1.267906,0.715043,0.731692,0.715336,0.711208,val
60,0.08224389,0.141400,0.955042,0.955275,0.955234,0.955230,1.412317,0.692785,0.714364,0.695485,0.691552,val
61,0.08162411,0.171106,0.945282,0.945509,0.945466,0.945462,1.371226,0.692092,0.719418,0.694202,0.694268,val
62,0.08099612,0.166923,0.947113,0.947170,0.947111,0.947113,1.456365,0.685383,0.715582,0.689143,0.685861,val
63,0.08036009,0.155401,0.951760,0.951806,0.951810,0.951783,1.368690,0.696867,0.723133,0.699397,0.700669,val
64,0.07971618,0.159048,0.949677,0.949734,0.949698,0.949694,1.344277,0.699665,0.718570,0.703437,0.700755,val
65,0.07906456,0.131070,0.958082,0.958203,0.958174,0.958165,1.435370,0.690673,0.721707,0.694389,0.691691,val
66,0.07840540,0.134813,0.957762,0.957856,0.957829,0.957824,1.319489,0.710204,0.732321,0.713294,0.711878,val
67,0.07773886,0.139443,0.955017,0.955202,0.955195,0.955178,1.420842,0.690415,0.725139,0.692712,0.694363,val
68,0.07706513,0.148023,0.951921,0.952059,0.952003,0.952009,1.383472,0.696515,0.715210,0.700652,0.695281,val
69,0.07638437,0.144078,0.954989,0.955055,0.955039,0.955029,1.317835,0.708410,0.725383,0.710625,0.706711,val
70,0.07569677,0.128791,0.959734,0.959922,0.959853,0.959866,1.391123,0.707577,0.726793,0.711054,0.707143,val
71,0.07500250,0.129154,0.959398,0.959387,0.959358,0.959355,1.303096,0.720738,0.735877,0.724684,0.721568,val
72,0.07430174,0.128711,0.959339,0.959442,0.959440,0.959425,1.343992,0.711131,0.729652,0.713205,0.710480,val
73,0.07359468,0.117516,0.963739,0.963906,0.963875,0.963874,1.422175,0.697401,0.723895,0.700415,0.698162,val
74,0.07288149,0.104434,0.968098,0.968136,0.968083,0.968093,1.308760,0.718867,0.734539,0.720563,0.718707,val
75,0.07216236,0.108767,0.966238,0.966327,0.966266,0.966281,1.350100,0.705647,0.726101,0.706717,0.706352,val
76,0.07143748,0.121773,0.961209,0.961260,0.961152,0.961180,1.422501,0.699471,0.721017,0.702642,0.700735,val
77,0.07070705,0.094635,0.971637,0.971801,0.971767,0.971769,1.360478,0.709020,0.730864,0.712577,0.709244,val
78,0.06997123,0.109453,0.966498,0.966644,0.966562,0.966584,1.383242,0.703770,0.729296,0.707006,0.707076,val
79,0.06923024,0.119683,0.962996,0.963012,0.962962,0.962969,1.461313,0.703835,0.725277,0.704087,0.704220,val
80,0.06848425,0.130506,0.959030,0.959144,0.959083,0.959093,1.384490,0.702843,0.723929,0.705706,0.703945,val
81,0.06773347,0.115826,0.964230,0.964348,0.964329,0.964318,1.368073,0.706732,0.731415,0.707750,0.707440,val
82,0.06697809,0.097798,0.970378,0.970466,0.970413,0.970422,1.337422,0.706673,0.722761,0.709189,0.706354,val
83,0.06621830,0.084718,0.974485,0.974641,0.974616,0.974612,1.291205,0.725419,0.741486,0.726636,0.725193,val
84,0.06545430,0.090048,0.972621,0.972684,0.972660,0.972655,1.358634,0.708468,0.727607,0.708869,0.710115,val
85,0.06468630,0.090817,0.971857,0.971907,0.971851,0.971858,1.289983,0.722991,0.733134,0.725297,0.719628,val
86,0.06391448,0.081817,0.976170,0.976212,0.976202,0.976197,1.331180,0.718410,0.734258,0.721361,0.716958,val
87,0.06313906,0.086333,0.973508,0.973596,0.973548,0.973562,1.239491,0.732322,0.742669,0.733808,0.729695,val
88,0.06236022,0.078407,0.976159,0.976247,0.976243,0.976230,1.249684,0.720955,0.738915,0.721988,0.722158,val
89,0.06157818,0.083372,0.975344,0.975353,0.975327,0.975324,1.273771,0.726205,0.745980,0.729107,0.728045,val
90,0.06079313,0.089089,0.972818,0.972874,0.972848,0.972848,1.290611,0.723167,0.738938,0.725283,0.722859,val
91,0.06000528,0.078847,0.977501,0.977579,0.977563,0.977558,1.229874,0.730903,0.739644,0.732218,0.730511,val
92,0.05921484,0.077087,0.977389,0.977425,0.977395,0.977396,1.335436,0.713929,0.731591,0.717783,0.715565,val
93,0.05842201,0.075993,0.978191,0.978237,0.978218,0.978217,1.289010,0.735126,0.748149,0.737440,0.735614,val
94,0.05762699,0.060033,0.983145,0.983213,0.983204,0.983198,1.212721,0.740293,0.750118,0.742206,0.739049,val
95,0.05683000,0.058437,0.982885,0.982943,0.982912,0.982918,1.255436,0.736070,0.751337,0.739227,0.737648,val
96,0.05603123,0.062930,0.982096,0.982114,0.982122,0.982108,1.303126,0.725495,0.744863,0.727333,0.726845,val
97,0.05523090,0.064894,0.980523,0.980694,0.980677,0.980678,1.366644,0.719894,0.733395,0.723536,0.718496,val
98,0.05442921,0.055862,0.984276,0.984269,0.984235,0.984241,1.216080,0.736205,0.755296,0.737846,0.738996,val
99,0.05362638,0.043131,0.988553,0.988600,0.988573,0.988580,1.196959,0.744927,0.753136,0.748175,0.744650,val
100,0.05282260,0.040387,0.989391,0.989416,0.989399,0.989400,1.212783,0.737190,0.752651,0.740263,0.738460,val
101,0.05201810,0.046293,0.987135,0.987127,0.987118,0.987116,1.289849,0.732832,0.742766,0.735417,0.729780,val
102,0.05121307,0.039795,0.989033,0.989024,0.989013,0.989011,1.158964,0.752921,0.761659,0.754875,0.751496,val
103,0.05040772,0.026283,0.994208,0.994200,0.994202,0.994197,1.122066,0.756886,0.761831,0.758260,0.754840,val
104,0.04960228,0.021125,0.995207,0.995248,0.995240,0.995242,1.107953,0.762411,0.767917,0.763897,0.760275,val
105,0.04879693,0.022129,0.995503,0.995534,0.995534,0.995531,1.122844,0.755408,0.759340,0.755662,0.753633,val
106,0.04799190,0.016043,0.996821,0.996815,0.996820,0.996815,1.089059,0.763103,0.767462,0.765148,0.761988,val
107,0.04718740,0.012373,0.997831,0.997835,0.997823,0.997827,1.006051,0.777168,0.780204,0.780063,0.776926,val
108,0.04638362,0.010123,0.998102,0.998102,0.998105,0.998103,1.027691,0.775039,0.778747,0.777655,0.774685,val
109,0.04558079,0.008109,0.998694,0.998692,0.998688,0.998689,1.001417,0.780265,0.782397,0.783493,0.779480,val
110,0.04477910,0.008122,0.998510,0.998550,0.998540,0.998545,1.000023,0.780681,0.784467,0.782524,0.779349,val
111,0.04397877,0.008055,0.998743,0.998745,0.998743,0.998743,0.958232,0.785790,0.788530,0.788408,0.785124,val
112,0.04318000,0.004589,0.999384,0.999387,0.999383,0.999384,0.951836,0.783303,0.785726,0.786278,0.782836,val
113,0.04238301,0.004266,0.999482,0.999483,0.999482,0.999482,0.924024,0.792834,0.793069,0.794441,0.791052,val
114,0.04158799,0.002955,0.999729,0.999727,0.999729,0.999728,0.904147,0.788828,0.789537,0.791663,0.787538,val
115,0.04079516,0.003524,0.999581,0.999582,0.999580,0.999581,0.909798,0.788986,0.789061,0.791550,0.787420,val
116,0.04000472,0.003367,0.999581,0.999581,0.999579,0.999580,0.906787,0.788136,0.788746,0.790929,0.787040,val
117,0.03921687,0.003090,0.999803,0.999800,0.999802,0.999801,0.880425,0.791215,0.791488,0.794124,0.790673,val
118,0.03843182,0.002236,0.999901,0.999901,0.999899,0.999900,0.868846,0.792183,0.790983,0.794329,0.790525,val
119,0.03764978,0.002124,0.999901,0.999902,0.999901,0.999901,0.853430,0.794195,0.793592,0.796635,0.792816,val
120,0.03687094,0.002466,0.999778,0.999777,0.999777,0.999777,0.856868,0.798318,0.798457,0.800994,0.797134,val
121,0.03609552,0.002309,0.999852,0.999852,0.999850,0.999851,0.848832,0.794036,0.794007,0.796453,0.793093,val
122,0.03532370,0.002190,0.999877,0.999875,0.999875,0.999875,0.838784,0.801972,0.800283,0.802874,0.799340,val
123,0.03455570,0.002180,0.999852,0.999852,0.999852,0.999852,0.834454,0.797825,0.797898,0.800002,0.796826,val
124,0.03379170,0.002200,0.999852,0.999851,0.999851,0.999851,0.827967,0.801673,0.801068,0.804129,0.800458,val
125,0.03303191,0.002251,0.999877,0.999878,0.999875,0.999876,0.826323,0.799620,0.798784,0.801916,0.798116,val
126,0.03227653,0.002058,0.999926,0.999925,0.999926,0.999926,0.819644,0.803309,0.802755,0.805424,0.802218,val
127,0.03152575,0.002031,0.999926,0.999925,0.999926,0.999926,0.821150,0.802658,0.801684,0.805104,0.801113,val
