dataset_folder,dataset_display,model_folder,run_name,run_path,config_dataset,config_model,seed,cutout_mode,cutout_m,cutout_area,configured_epochs,observed_metric_rows,observed_metric_epochs,first_epoch,last_epoch,grayscale,include_regex,teacher_checkpoint,teacher_checkpoint_sha256,config_exists,metrics_exists,metrics_plot_exists,best_model_exists,best_model_size_bytes,best_model_mtime,log_files_count,log_files,config_sha256,metrics_sha256,status,notes
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_cam_low_M8_area0.1,runs/drive_zip/resnet18_seed42_cam_low_M8_area0.1,drive_zip,resnet18,42,cam_low,8,0.1,100,100,100,1.0,100.0,True,_grayscale\.tiff$,runs/drive_zip/resnet18/42/resnet18_seed42_none/best_model.pt,c9d7d246c12498633dac842270610de34985ec187753f97d92b9769773ee85ba,True,True,True,False,,,0,,15338e10dd7f5c306518cbe4272e1c27877886e8a5985fd289cb35fc8035afd4,e8a566ac3af53b682bb3b7d5863d98ca4fefffce5630aef916b767e798395154,ok,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_none,runs/drive_zip/resnet18_seed42_none,drive_zip,resnet18,42,none,0,,100,100,100,1.0,100.0,True,_grayscale\.tiff$,,,True,True,True,False,,,0,,125101bfbf5a858032f1f7fc851ed1c1d542c96b0b0684f507d6012691c29533,af12b86b0c9675127129392e377d63069e7d3d6be1b7084ba47ed348774a95d4,ok,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_random_M4_area0.1,runs/drive_zip/resnet18_seed42_random_M4_area0.1,drive_zip,resnet18,42,random,4,0.1,100,100,100,1.0,100.0,True,_grayscale\.tiff$,,,True,True,True,False,,,0,,ab545728ae95260ccfb1b2755b1abfae16070f48e301595e8ea18c4dacb8373b,e19243b910bf6fdf39da0ff1e627b0a23a0b62a02e5fe936dd47bbca13451a24,ok,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_random_M8_area0.1,runs/drive_zip/resnet18_seed42_random_M8_area0.1,drive_zip,resnet18,42,random,8,0.1,100,100,100,1.0,100.0,True,_grayscale\.tiff$,,,True,True,True,False,,,0,,a186caa767d61d1c52c469cc176ea1f71efeaffa4a9490d93eca4cbafd38c220,c03825fe6139f2133b2a8380becae6ec7d21c8b665907ba8d0ab3a1b9c1ec9c0,ok,
malimg,MalImg,resnet18,resnet18_seed42_cam_high_M4_area0.1,runs/malimg/resnet18_seed42_cam_high_M4_area0.1,malimg,resnet18,42,cam_high,4,0.1,100,100,100,1.0,100.0,False,,runs/malimg/resnet18/42/resnet18_seed42_none/best_model.pt,077794e333fe89bb3348e9036576a3a56143ca93c7944688a88a045e3f9c1d98,True,True,True,False,,,0,,35b66daf6f5f1e91099f7f4fea407d06208e4d5560ed624f269630c7c4186862,c48e5cd4f8a374ca5c7aaf9b28b0d7c310acacbb89a9e08ac9ec33520ef041ce,ok,
malimg,MalImg,resnet18,resnet18_seed42_cam_high_M8_area0.1,runs/malimg/resnet18_seed42_cam_high_M8_area0.1,malimg,resnet18,42,cam_high,8,0.1,100,100,100,1.0,100.0,False,,runs/malimg/resnet18/42/resnet18_seed42_none/best_model.pt,7313e45ed26cc7de88279b2ca93ef1450120c2efc3331ebafa41b45f1f46194a,True,True,True,False,,,0,,6e68543669c3f1c2e8452a43d739547facb996abd23786dbb44be71afd2215fc,28d3592915430eadebd12dec6ab24e3e727a3cec741b49b5f01457b0de14802f,ok,
malimg,MalImg,resnet18,resnet18_seed42_cam_low_M4_area0.1,runs/malimg/resnet18_seed42_cam_low_M4_area0.1,malimg,resnet18,42,cam_low,4,0.1,100,100,100,1.0,100.0,False,,runs/malimg/resnet18/42/resnet18_seed42_none/best_model.pt,077794e333fe89bb3348e9036576a3a56143ca93c7944688a88a045e3f9c1d98,True,True,True,False,,,0,,6af904ef335b744c00a68b83d8f66b84a617d591bc426a0180a019078b929ffc,515b74f66754894705e2f59ed54ca84d29ef24bcd980c1412fbbe2a9f2306167,ok,
malimg,MalImg,resnet18,resnet18_seed42_cam_low_M8_area0.1,runs/malimg/resnet18_seed42_cam_low_M8_area0.1,malimg,resnet18,42,cam_low,8,0.1,100,100,100,1.0,100.0,False,,runs/malimg/resnet18/42/resnet18_seed42_none/best_model.pt,7313e45ed26cc7de88279b2ca93ef1450120c2efc3331ebafa41b45f1f46194a,True,True,True,False,,,0,,486df262906b018b4371a55bc1cd7e9429b3dcfe9bf650c978beda3e384aa4d3,20401f577239ce6a2e057c94f70a72ca9ff83e272d77f3cfd2bfac4f4bbc421d,ok,
malimg,MalImg,resnet18,resnet18_seed42_none,runs/malimg/resnet18_seed42_none,malimg,resnet18,42,none,0,,100,100,100,1.0,100.0,False,,,,True,True,True,False,,,0,,3ab445a7f97d7acfa6ae99824fd06fca58cc47fbe6f147711f9203a195bf4941,d85793dfe81f5d4bddb90e04780ec7f3ec6fb00a645fe04c7ca1e0cb553ccd5a,ok,
malimg,MalImg,resnet18,resnet18_seed42_random_M4_area0.1,runs/malimg/resnet18_seed42_random_M4_area0.1,malimg,resnet18,42,random,4,0.1,100,100,100,1.0,100.0,False,,,,True,True,True,False,,,0,,b11e6802dcd46ebc20e5b083eb4f56b33a0b71c060331f8b931022110fcdadfa,f053bd8e549942f35b2dd43444f4d57e803e0a548274d9ca6a1695e70afe69ab,ok,
malimg,MalImg,resnet18,resnet18_seed42_random_M8_area0.1,runs/malimg/resnet18_seed42_random_M8_area0.1,malimg,resnet18,42,random,8,0.1,100,100,100,1.0,100.0,False,,,,True,True,True,False,,,0,,36ea2cafca47c5a1a849e67046f21db08916e8c899aa10ccf1bf9c811860415b,f7cc4d602499ce01b4bd20ebbc6ffc25069ad2656c0b8ccdb3db086211ff59cc,ok,
